agent_id,agent_name,behavior_bias,provisioned_at,governance_status,human_owner
AID-00036,Data Pipeline-626,data_pipeline,2026-02-15 00:00:00,Active,owner-15@acmecorp.com
AID-00037,Customer Support-166,customer_support,2026-02-08 00:00:00,Active,owner-16@acmecorp.com
AID-00038,Financial Analysis-494,financial_analysis,2026-03-06 00:00:00,Active,owner-17@acmecorp.com
AID-00039,Data Pipeline-116,data_pipeline,2026-03-04 00:00:00,Active,owner-18@acmecorp.com
AID-00040,Data Pipeline-347,data_pipeline,2026-02-03 00:00:00,Active,owner-19@acmecorp.com
AID-00041,Customer Support-842,customer_support,2026-02-27 00:00:00,Active,owner-0@acmecorp.com
AID-00042,Customer Support-197,customer_support,2026-02-21 00:00:00,Active,owner-1@acmecorp.com
AID-00043,Market Research-283,market_research,2026-03-08 00:00:00,Active,owner-2@acmecorp.com
AID-00044,Compliance Audit-853,compliance_audit,2026-02-11 00:00:00,Active,owner-3@acmecorp.com
AID-00045,Data Pipeline-601,data_pipeline,2026-02-16 00:00:00,Active,owner-4@acmecorp.com
AID-00046,Financial Analysis-438,financial_analysis,2026-03-01 00:00:00,Active,owner-5@acmecorp.com
AID-00047,Customer Support-137,customer_support,2026-03-07 00:00:00,Active,owner-6@acmecorp.com
AID-00048,Market Research-765,market_research,2026-03-02 00:00:00,Active,owner-7@acmecorp.com
AID-00049,Customer Support-361,customer_support,2026-02-15 00:00:00,Active,owner-8@acmecorp.com
AID-00050,Market Research-482,market_research,2026-02-13 00:00:00,Active,owner-9@acmecorp.com
AID-00051,Data Pipeline-871,data_pipeline,2026-02-15 00:00:00,Active,owner-10@acmecorp.com
AID-00052,Data Pipeline-662,data_pipeline,2026-02-06 00:00:00,Active,owner-11@acmecorp.com
AID-00053,Customer Support-372,customer_support,2026-02-19 00:00:00,Active,owner-12@acmecorp.com
AID-00054,Customer Support-920,customer_support,2026-03-12 00:00:00,Active,owner-13@acmecorp.com
AID-00055,Data Pipeline-934,data_pipeline,2026-02-11 00:00:00,Active,owner-14@acmecorp.com
AID-00056,Data Pipeline-860,data_pipeline,2026-03-14 00:00:00,Active,owner-15@acmecorp.com
AID-00057,Financial Analysis-212,financial_analysis,2026-03-17 00:00:00,Active,owner-16@acmecorp.com
AID-00058,Trading Strategy-858,trading_strategy,2026-02-19 00:00:00,Active,owner-17@acmecorp.com
AID-00059,Compliance Audit-801,compliance_audit,2026-02-27 00:00:00,Active,owner-18@acmecorp.com
AID-00060,Market Research-469,market_research,2026-03-03 00:00:00,Active,owner-19@acmecorp.com
AID-00061,Compliance Audit-604,compliance_audit,2026-02-10 00:00:00,Active,owner-0@acmecorp.com
AID-00062,Data Pipeline-612,data_pipeline,2026-03-13 00:00:00,Active,owner-1@acmecorp.com
AID-00063,Financial Analysis-560,financial_analysis,2026-02-02 00:00:00,Active,owner-2@acmecorp.com
AID-00064,Compliance Audit-594,compliance_audit,2026-02-06 00:00:00,Active,owner-3@acmecorp.com
AID-00065,Market Research-189,market_research,2026-03-16 00:00:00,Active,owner-4@acmecorp.com
AID-00066,Data Pipeline-163,data_pipeline,2026-02-12 00:00:00,Active,owner-5@acmecorp.com
AID-00067,Data Pipeline-969,data_pipeline,2026-03-01 00:00:00,Active,owner-6@acmecorp.com
AID-00068,Code Generation-247,code_generation,2026-02-15 00:00:00,Active,owner-7@acmecorp.com
AID-00069,Financial Analysis-183,financial_analysis,2026-02-15 00:00:00,Active,owner-8@acmecorp.com
AID-00070,Data Pipeline-160,data_pipeline,2026-03-02 00:00:00,Active,owner-9@acmecorp.com
AID-00071,Financial Analysis-226,financial_analysis,2026-03-14 00:00:00,Active,owner-10@acmecorp.com
AID-00072,Market Research-246,market_research,2026-02-01 00:00:00,Active,owner-11@acmecorp.com
AID-00073,Financial Analysis-839,financial_analysis,2026-03-10 00:00:00,Active,owner-12@acmecorp.com
AID-00074,Code Generation-293,code_generation,2026-03-06 00:00:00,Active,owner-13@acmecorp.com
AID-00075,Financial Analysis-591,financial_analysis,2026-02-25 00:00:00,Active,owner-14@acmecorp.com
AID-00076,Market Research-251,market_research,2026-02-11 00:00:00,Active,owner-15@acmecorp.com
AID-00077,Financial Analysis-274,financial_analysis,2026-02-11 00:00:00,Active,owner-16@acmecorp.com
AID-00078,Market Research-657,market_research,2026-03-06 00:00:00,Active,owner-17@acmecorp.com
AID-00079,Market Research-156,market_research,2026-02-11 00:00:00,Active,owner-18@acmecorp.com
AID-00080,Financial Analysis-418,financial_analysis,2026-03-03 00:00:00,Active,owner-19@acmecorp.com
AID-00081,Trading Strategy-764,trading_strategy,2026-03-06 00:00:00,Active,owner-0@acmecorp.com
AID-00082,Data Pipeline-472,data_pipeline,2026-02-05 00:00:00,Active,owner-1@acmecorp.com
AID-00083,Data Pipeline-455,data_pipeline,2026-02-25 00:00:00,Active,owner-2@acmecorp.com
AID-00084,Data Pipeline-739,data_pipeline,2026-02-13 00:00:00,Active,owner-3@acmecorp.com
AID-00085,Trading Strategy-870,trading_strategy,2026-02-07 00:00:00,Active,owner-4@acmecorp.com
AID-00086,Customer Support-846,customer_support,2026-03-05 00:00:00,Active,owner-5@acmecorp.com
AID-00087,Compliance Audit-285,compliance_audit,2026-03-04 00:00:00,Active,owner-6@acmecorp.com
AID-00088,Hr Onboarding-816,hr_onboarding,2026-02-21 00:00:00,Active,owner-7@acmecorp.com
AID-00089,Customer Support-351,customer_support,2026-03-02 00:00:00,Active,owner-8@acmecorp.com
AID-00090,Financial Analysis-726,financial_analysis,2026-03-01 00:00:00,Active,owner-9@acmecorp.com
AID-00091,Financial Analysis-320,financial_analysis,2026-02-09 00:00:00,Active,owner-10@acmecorp.com
AID-00092,Customer Support-157,customer_support,2026-02-18 00:00:00,Active,owner-11@acmecorp.com
AID-00093,Customer Support-586,customer_support,2026-02-15 00:00:00,Active,owner-12@acmecorp.com
AID-00094,Code Generation-913,code_generation,2026-02-18 00:00:00,Active,owner-13@acmecorp.com
AID-00095,Code Generation-886,code_generation,2026-02-01 00:00:00,Active,owner-14@acmecorp.com
AID-00096,Market Research-345,market_research,2026-03-09 00:00:00,Active,owner-15@acmecorp.com
AID-00097,Financial Analysis-951,financial_analysis,2026-02-16 00:00:00,Active,owner-16@acmecorp.com
AID-00098,Financial Analysis-731,financial_analysis,2026-02-01 00:00:00,Active,owner-17@acmecorp.com
AID-00099,Customer Support-804,customer_support,2026-02-22 00:00:00,Active,owner-18@acmecorp.com
AID-00100,Market Research-754,market_research,2026-03-17 00:00:00,Active,owner-19@acmecorp.com
AID-00101,Compliance Audit-247,compliance_audit,2026-02-24 00:00:00,Active,owner-0@acmecorp.com
AID-00102,Customer Support-904,customer_support,2026-03-09 00:00:00,Active,owner-1@acmecorp.com
AID-00103,Market Research-654,market_research,2026-03-11 00:00:00,Active,owner-2@acmecorp.com
AID-00104,Trading Strategy-845,trading_strategy,2026-02-14 00:00:00,Active,owner-3@acmecorp.com
AID-00105,Compliance Audit-797,compliance_audit,2026-03-03 00:00:00,Active,owner-4@acmecorp.com
AID-00106,Data Pipeline-130,data_pipeline,2026-02-01 00:00:00,Active,owner-5@acmecorp.com
AID-00107,Hr Onboarding-178,hr_onboarding,2026-03-06 00:00:00,Active,owner-6@acmecorp.com
AID-00108,Trading Strategy-829,trading_strategy,2026-03-16 00:00:00,Active,owner-7@acmecorp.com
AID-00109,Data Pipeline-867,data_pipeline,2026-02-22 00:00:00,Active,owner-8@acmecorp.com
AID-00110,Hr Onboarding-546,hr_onboarding,2026-02-02 00:00:00,Active,owner-9@acmecorp.com
AID-00111,Financial Analysis-495,financial_analysis,2026-02-13 00:00:00,Active,owner-10@acmecorp.com
AID-00112,Trading Strategy-319,trading_strategy,2026-03-07 00:00:00,Active,owner-11@acmecorp.com
AID-00113,Compliance Audit-463,compliance_audit,2026-03-05 00:00:00,Active,owner-12@acmecorp.com
AID-00114,Hr Onboarding-772,hr_onboarding,2026-02-13 00:00:00,Active,owner-13@acmecorp.com
AID-00115,Compliance Audit-191,compliance_audit,2026-02-06 00:00:00,Active,owner-14@acmecorp.com
AID-00116,Trading Strategy-790,trading_strategy,2026-02-26 00:00:00,Active,owner-15@acmecorp.com
AID-00117,Market Research-223,market_research,2026-02-28 00:00:00,Active,owner-16@acmecorp.com
AID-00118,Market Research-878,market_research,2026-02-21 00:00:00,Active,owner-17@acmecorp.com
AID-00119,Code Generation-182,code_generation,2026-02-22 00:00:00,Active,owner-18@acmecorp.com
AID-00120,Compliance Audit-417,compliance_audit,2026-02-24 00:00:00,Active,owner-19@acmecorp.com
AID-00121,Trading Strategy-779,trading_strategy,2026-02-09 00:00:00,Active,owner-0@acmecorp.com
AID-00122,Trading Strategy-886,trading_strategy,2026-03-17 00:00:00,Active,owner-1@acmecorp.com
AID-00123,Hr Onboarding-256,hr_onboarding,2026-02-11 00:00:00,Active,owner-2@acmecorp.com
AID-00124,Trading Strategy-721,trading_strategy,2026-03-05 00:00:00,Active,owner-3@acmecorp.com
AID-00125,Data Pipeline-236,data_pipeline,2026-02-23 00:00:00,Active,owner-4@acmecorp.com
AID-00126,Market Research-208,market_research,2026-02-17 00:00:00,Active,owner-5@acmecorp.com
AID-00127,Code Generation-439,code_generation,2026-02-01 00:00:00,Active,owner-6@acmecorp.com
AID-00128,Market Research-918,market_research,2026-02-28 00:00:00,Active,owner-7@acmecorp.com
AID-00129,Market Research-374,market_research,2026-02-13 00:00:00,Active,owner-8@acmecorp.com
AID-00130,Code Generation-287,code_generation,2026-02-25 00:00:00,Active,owner-9@acmecorp.com
AID-00131,Financial Analysis-356,financial_analysis,2026-03-08 00:00:00,Active,owner-10@acmecorp.com
AID-00132,Compliance Audit-649,compliance_audit,2026-02-25 00:00:00,Active,owner-11@acmecorp.com
AID-00133,Compliance Audit-214,compliance_audit,2026-02-25 00:00:00,Active,owner-12@acmecorp.com
AID-00134,Trading Strategy-207,trading_strategy,2026-02-08 00:00:00,Active,owner-13@acmecorp.com
AID-00135,Trading Strategy-358,trading_strategy,2026-02-12 00:00:00,Active,owner-14@acmecorp.com
AID-00136,Data Pipeline-693,data_pipeline,2026-02-02 00:00:00,Active,owner-15@acmecorp.com
AID-00137,Hr Onboarding-499,hr_onboarding,2026-03-08 00:00:00,Active,owner-16@acmecorp.com
AID-00138,Customer Support-678,customer_support,2026-02-17 00:00:00,Active,owner-17@acmecorp.com
AID-00139,Market Research-916,market_research,2026-02-12 00:00:00,Active,owner-18@acmecorp.com
AID-00140,Code Generation-809,code_generation,2026-02-06 00:00:00,Active,owner-19@acmecorp.com
AID-00141,Trading Strategy-685,trading_strategy,2026-02-08 00:00:00,Active,owner-0@acmecorp.com
AID-00142,Code Generation-472,code_generation,2026-02-28 00:00:00,Active,owner-1@acmecorp.com
AID-00143,Data Pipeline-933,data_pipeline,2026-02-10 00:00:00,Active,owner-2@acmecorp.com
AID-00144,Customer Support-867,customer_support,2026-02-14 00:00:00,Active,owner-3@acmecorp.com
AID-00145,Trading Strategy-481,trading_strategy,2026-03-15 00:00:00,Active,owner-4@acmecorp.com
AID-00146,Market Research-974,market_research,2026-02-01 00:00:00,Active,owner-5@acmecorp.com
AID-00147,Financial Analysis-173,financial_analysis,2026-02-28 00:00:00,Active,owner-6@acmecorp.com
AID-00148,Trading Strategy-467,trading_strategy,2026-02-19 00:00:00,Active,owner-7@acmecorp.com
AID-00149,Market Research-355,market_research,2026-02-12 00:00:00,Active,owner-8@acmecorp.com
AID-00150,Customer Support-125,customer_support,2026-03-09 00:00:00,Active,owner-9@acmecorp.com
AID-00151,Customer Support-197,customer_support,2026-02-28 00:00:00,Active,owner-10@acmecorp.com
AID-00152,Market Research-723,market_research,2026-02-10 00:00:00,Active,owner-11@acmecorp.com
AID-00153,Customer Support-764,customer_support,2026-02-16 00:00:00,Active,owner-12@acmecorp.com
AID-00154,Compliance Audit-561,compliance_audit,2026-03-14 00:00:00,Active,owner-13@acmecorp.com
AID-00155,Trading Strategy-852,trading_strategy,2026-02-16 00:00:00,Active,owner-14@acmecorp.com
AID-00156,Financial Analysis-993,financial_analysis,2026-02-09 00:00:00,Active,owner-15@acmecorp.com
AID-00157,Hr Onboarding-884,hr_onboarding,2026-03-16 00:00:00,Active,owner-16@acmecorp.com
AID-00158,Code Generation-793,code_generation,2026-02-13 00:00:00,Active,owner-17@acmecorp.com
AID-00159,Market Research-699,market_research,2026-02-05 00:00:00,Active,owner-18@acmecorp.com
AID-00160,Trading Strategy-788,trading_strategy,2026-02-02 00:00:00,Active,owner-19@acmecorp.com
AID-00161,Hr Onboarding-981,hr_onboarding,2026-02-01 00:00:00,Active,owner-0@acmecorp.com
AID-00162,Financial Analysis-139,financial_analysis,2026-03-18 00:00:00,Active,owner-1@acmecorp.com
AID-00163,Code Generation-280,code_generation,2026-02-24 00:00:00,Active,owner-2@acmecorp.com
AID-00164,Data Pipeline-664,data_pipeline,2026-02-06 00:00:00,Active,owner-3@acmecorp.com
AID-00165,Market Research-953,market_research,2026-03-18 00:00:00,Active,owner-4@acmecorp.com
AID-00166,Financial Analysis-488,financial_analysis,2026-02-09 00:00:00,Active,owner-5@acmecorp.com
AID-00167,Code Generation-249,code_generation,2026-03-11 00:00:00,Active,owner-6@acmecorp.com
AID-00168,Compliance Audit-340,compliance_audit,2026-03-11 00:00:00,Active,owner-7@acmecorp.com
AID-00169,Hr Onboarding-172,hr_onboarding,2026-03-13 00:00:00,Active,owner-8@acmecorp.com
AID-00170,Hr Onboarding-502,hr_onboarding,2026-03-13 00:00:00,Active,owner-9@acmecorp.com
AID-00171,Trading Strategy-908,trading_strategy,2026-02-06 00:00:00,Active,owner-10@acmecorp.com
AID-00172,Hr Onboarding-398,hr_onboarding,2026-03-07 00:00:00,Active,owner-11@acmecorp.com
AID-00173,Customer Support-215,customer_support,2026-03-10 00:00:00,Active,owner-12@acmecorp.com
AID-00174,Financial Analysis-758,financial_analysis,2026-02-17 00:00:00,Active,owner-13@acmecorp.com
AID-00175,Code Generation-745,code_generation,2026-02-08 00:00:00,Active,owner-14@acmecorp.com
AID-00176,Market Research-633,market_research,2026-02-27 00:00:00,Active,owner-15@acmecorp.com
AID-00177,Data Pipeline-883,data_pipeline,2026-03-09 00:00:00,Active,owner-16@acmecorp.com
AID-00178,Data Pipeline-246,data_pipeline,2026-02-15 00:00:00,Active,owner-17@acmecorp.com
AID-00179,Customer Support-646,customer_support,2026-03-15 00:00:00,Active,owner-18@acmecorp.com
AID-00180,Data Pipeline-269,data_pipeline,2026-03-04 00:00:00,Active,owner-19@acmecorp.com
AID-00181,Hr Onboarding-505,hr_onboarding,2026-02-20 00:00:00,Active,owner-0@acmecorp.com
AID-00182,Market Research-249,market_research,2026-03-03 00:00:00,Active,owner-1@acmecorp.com
AID-00183,Customer Support-183,customer_support,2026-02-20 00:00:00,Active,owner-2@acmecorp.com
AID-00184,Compliance Audit-977,compliance_audit,2026-02-01 00:00:00,Active,owner-3@acmecorp.com
AID-00185,Market Research-128,market_research,2026-02-02 00:00:00,Active,owner-4@acmecorp.com
AID-00186,Compliance Audit-780,compliance_audit,2026-02-02 00:00:00,Active,owner-5@acmecorp.com
AID-00187,Data Pipeline-306,data_pipeline,2026-02-18 00:00:00,Active,owner-6@acmecorp.com
AID-00188,Customer Support-174,customer_support,2026-03-10 00:00:00,Active,owner-7@acmecorp.com
AID-00189,Data Pipeline-983,data_pipeline,2026-02-17 00:00:00,Active,owner-8@acmecorp.com
AID-00190,Customer Support-189,customer_support,2026-02-24 00:00:00,Active,owner-9@acmecorp.com
AID-00191,Financial Analysis-682,financial_analysis,2026-02-03 00:00:00,Active,owner-10@acmecorp.com
AID-00192,Market Research-242,market_research,2026-02-14 00:00:00,Active,owner-11@acmecorp.com
AID-00193,Data Pipeline-744,data_pipeline,2026-02-10 00:00:00,Active,owner-12@acmecorp.com
AID-00194,Compliance Audit-564,compliance_audit,2026-02-11 00:00:00,Active,owner-13@acmecorp.com
AID-00195,Market Research-263,market_research,2026-02-07 00:00:00,Active,owner-14@acmecorp.com
AID-00196,Market Research-807,market_research,2026-02-25 00:00:00,Active,owner-15@acmecorp.com
AID-00197,Code Generation-176,code_generation,2026-02-10 00:00:00,Active,owner-16@acmecorp.com
AID-00198,Market Research-970,market_research,2026-02-08 00:00:00,Active,owner-17@acmecorp.com
AID-00199,Customer Support-735,customer_support,2026-03-09 00:00:00,Active,owner-18@acmecorp.com
AID-00200,Data Pipeline-265,data_pipeline,2026-03-14 00:00:00,Active,owner-19@acmecorp.com
AID-00201,Market Research-346,market_research,2026-02-07 00:00:00,Active,owner-0@acmecorp.com
AID-00202,Code Generation-594,code_generation,2026-02-26 00:00:00,Active,owner-1@acmecorp.com
AID-00203,Customer Support-394,customer_support,2026-03-16 00:00:00,Active,owner-2@acmecorp.com
AID-00204,Data Pipeline-205,data_pipeline,2026-02-05 00:00:00,Active,owner-3@acmecorp.com
AID-00205,Hr Onboarding-977,hr_onboarding,2026-02-17 00:00:00,Active,owner-4@acmecorp.com
AID-00206,Code Generation-738,code_generation,2026-02-03 00:00:00,Active,owner-5@acmecorp.com
AID-00207,Compliance Audit-171,compliance_audit,2026-02-16 00:00:00,Active,owner-6@acmecorp.com
AID-00208,Data Pipeline-513,data_pipeline,2026-02-10 00:00:00,Active,owner-7@acmecorp.com
AID-00209,Compliance Audit-331,compliance_audit,2026-03-17 00:00:00,Active,owner-8@acmecorp.com
AID-00210,Financial Analysis-369,financial_analysis,2026-02-23 00:00:00,Active,owner-9@acmecorp.com
AID-00211,Financial Analysis-280,financial_analysis,2026-02-12 00:00:00,Active,owner-10@acmecorp.com
AID-00212,Financial Analysis-455,financial_analysis,2026-02-02 00:00:00,Active,owner-11@acmecorp.com
AID-00213,Data Pipeline-785,data_pipeline,2026-03-10 00:00:00,Active,owner-12@acmecorp.com
AID-00214,Code Generation-176,code_generation,2026-03-06 00:00:00,Active,owner-13@acmecorp.com
AID-00215,Data Pipeline-186,data_pipeline,2026-02-17 00:00:00,Active,owner-14@acmecorp.com
AID-00216,Market Research-838,market_research,2026-03-15 00:00:00,Active,owner-15@acmecorp.com
AID-00217,Financial Analysis-297,financial_analysis,2026-02-01 00:00:00,Active,owner-16@acmecorp.com
AID-00218,Code Generation-294,code_generation,2026-02-23 00:00:00,Active,owner-17@acmecorp.com
AID-00219,Trading Strategy-135,trading_strategy,2026-03-08 00:00:00,Active,owner-18@acmecorp.com
AID-00220,Compliance Audit-530,compliance_audit,2026-02-07 00:00:00,Active,owner-19@acmecorp.com
AID-00221,Data Pipeline-953,data_pipeline,2026-02-03 00:00:00,Active,owner-0@acmecorp.com
AID-00222,Market Research-452,market_research,2026-02-22 00:00:00,Active,owner-1@acmecorp.com
AID-00223,Code Generation-690,code_generation,2026-03-15 00:00:00,Active,owner-2@acmecorp.com
AID-00224,Financial Analysis-207,financial_analysis,2026-03-09 00:00:00,Active,owner-3@acmecorp.com
AID-00225,Data Pipeline-426,data_pipeline,2026-02-27 00:00:00,Active,owner-4@acmecorp.com
AID-00226,Code Generation-134,code_generation,2026-02-05 00:00:00,Active,owner-5@acmecorp.com
AID-00227,Trading Strategy-759,trading_strategy,2026-03-10 00:00:00,Active,owner-6@acmecorp.com
AID-00228,Trading Strategy-153,trading_strategy,2026-02-23 00:00:00,Active,owner-7@acmecorp.com
AID-00229,Market Research-536,market_research,2026-02-27 00:00:00,Active,owner-8@acmecorp.com
AID-00230,Code Generation-906,code_generation,2026-02-04 00:00:00,Active,owner-9@acmecorp.com
AID-00231,Financial Analysis-516,financial_analysis,2026-02-28 00:00:00,Active,owner-10@acmecorp.com
AID-00232,Data Pipeline-109,data_pipeline,2026-02-22 00:00:00,Active,owner-11@acmecorp.com
AID-00233,Compliance Audit-271,compliance_audit,2026-02-18 00:00:00,Active,owner-12@acmecorp.com
AID-00234,Hr Onboarding-520,hr_onboarding,2026-02-03 00:00:00,Active,owner-13@acmecorp.com
AID-00235,Code Generation-896,code_generation,2026-02-17 00:00:00,Active,owner-14@acmecorp.com
AID-00236,Hr Onboarding-335,hr_onboarding,2026-03-10 00:00:00,Active,owner-15@acmecorp.com
AID-00237,Customer Support-481,customer_support,2026-03-05 00:00:00,Active,owner-16@acmecorp.com
AID-00238,Financial Analysis-515,financial_analysis,2026-03-15 00:00:00,Active,owner-17@acmecorp.com
AID-00239,Trading Strategy-618,trading_strategy,2026-03-15 00:00:00,Active,owner-18@acmecorp.com
AID-00240,Hr Onboarding-531,hr_onboarding,2026-02-11 00:00:00,Active,owner-19@acmecorp.com
AID-00241,Data Pipeline-333,data_pipeline,2026-03-01 00:00:00,Active,owner-0@acmecorp.com
AID-00242,Hr Onboarding-597,hr_onboarding,2026-02-14 00:00:00,Active,owner-1@acmecorp.com
AID-00243,Financial Analysis-787,financial_analysis,2026-02-26 00:00:00,Active,owner-2@acmecorp.com
AID-00244,Trading Strategy-730,trading_strategy,2026-02-16 00:00:00,Active,owner-3@acmecorp.com
AID-00245,Hr Onboarding-591,hr_onboarding,2026-02-27 00:00:00,Active,owner-4@acmecorp.com
AID-00246,Compliance Audit-447,compliance_audit,2026-02-22 00:00:00,Active,owner-5@acmecorp.com
AID-00247,Compliance Audit-451,compliance_audit,2026-02-22 00:00:00,Active,owner-6@acmecorp.com
AID-00248,Financial Analysis-469,financial_analysis,2026-02-17 00:00:00,Active,owner-7@acmecorp.com
AID-00249,Customer Support-140,customer_support,2026-02-16 00:00:00,Active,owner-8@acmecorp.com
AID-00250,Trading Strategy-714,trading_strategy,2026-03-02 00:00:00,Active,owner-9@acmecorp.com
AID-00251,Market Research-153,market_research,2026-02-09 00:00:00,Active,owner-10@acmecorp.com
AID-00252,Compliance Audit-309,compliance_audit,2026-03-04 00:00:00,Active,owner-11@acmecorp.com
AID-00253,Market Research-831,market_research,2026-03-15 00:00:00,Active,owner-12@acmecorp.com
AID-00254,Data Pipeline-307,data_pipeline,2026-03-17 00:00:00,Active,owner-13@acmecorp.com
AID-00255,Hr Onboarding-874,hr_onboarding,2026-02-03 00:00:00,Active,owner-14@acmecorp.com
AID-00256,Data Pipeline-892,data_pipeline,2026-02-08 00:00:00,Active,owner-15@acmecorp.com
AID-00257,Compliance Audit-869,compliance_audit,2026-02-18 00:00:00,Active,owner-16@acmecorp.com
AID-00258,Compliance Audit-881,compliance_audit,2026-02-18 00:00:00,Active,owner-17@acmecorp.com
AID-00259,Compliance Audit-412,compliance_audit,2026-02-19 00:00:00,Active,owner-18@acmecorp.com
AID-00260,Data Pipeline-786,data_pipeline,2026-02-05 00:00:00,Active,owner-19@acmecorp.com
AID-00261,Market Research-127,market_research,2026-02-13 00:00:00,Active,owner-0@acmecorp.com
AID-00262,Data Pipeline-387,data_pipeline,2026-02-04 00:00:00,Active,owner-1@acmecorp.com
AID-00263,Code Generation-581,code_generation,2026-02-02 00:00:00,Active,owner-2@acmecorp.com
AID-00264,Financial Analysis-146,financial_analysis,2026-02-06 00:00:00,Active,owner-3@acmecorp.com
AID-00265,Trading Strategy-942,trading_strategy,2026-02-23 00:00:00,Active,owner-4@acmecorp.com
AID-00266,Code Generation-158,code_generation,2026-02-11 00:00:00,Active,owner-5@acmecorp.com
AID-00267,Data Pipeline-617,data_pipeline,2026-03-09 00:00:00,Active,owner-6@acmecorp.com
AID-00268,Market Research-391,market_research,2026-02-27 00:00:00,Active,owner-7@acmecorp.com
AID-00269,Compliance Audit-984,compliance_audit,2026-03-10 00:00:00,Active,owner-8@acmecorp.com
AID-00270,Market Research-684,market_research,2026-02-17 00:00:00,Active,owner-9@acmecorp.com
AID-00271,Code Generation-606,code_generation,2026-03-18 00:00:00,Active,owner-10@acmecorp.com
AID-00272,Compliance Audit-241,compliance_audit,2026-02-24 00:00:00,Active,owner-11@acmecorp.com
AID-00273,Compliance Audit-839,compliance_audit,2026-02-22 00:00:00,Active,owner-12@acmecorp.com
AID-00274,Customer Support-891,customer_support,2026-02-05 00:00:00,Active,owner-13@acmecorp.com
AID-00275,Trading Strategy-101,trading_strategy,2026-03-04 00:00:00,Active,owner-14@acmecorp.com
AID-00276,Hr Onboarding-640,hr_onboarding,2026-03-10 00:00:00,Active,owner-15@acmecorp.com
